x-axis,WaveGen-ARB
second,Volt
206.00E-009,0.0613E+00
207.00E-009,0.1188E+00
208.00E-009,0.0571E+00
209.00E-009,0.1185E+00
210.00E-009,0.1799E+00
211.00E-009,0.1798E+00
212.00E-009,0.1208E+00
213.00E-009,0.1208E+00
214.00E-009,0.0604E+00
215.00E-009,-0.0020E+00
216.00E-009,-0.0020E+00
217.00E-009,0.0582E+00
218.00E-009,0.1200E+00
219.00E-009,0.1816E+00
220.00E-009,0.0611E+00
221.00E-009,0.0624E+00
222.00E-009,-0.0003E+00
223.00E-009,-0.0003E+00
224.00E-009,-0.0029E+00
225.00E-009,-0.0005E+00
226.00E-009,-0.0005E+00
227.00E-009,-0.0594E+00
228.00E-009,-0.0594E+00
229.00E-009,-0.0594E+00
230.00E-009,-0.1165E+00
231.00E-009,-0.1162E+00
232.00E-009,-0.0517E+00
233.00E-009,-0.0517E+00
234.00E-009,0.0113E+00
235.00E-009,-0.0489E+00
236.00E-009,-0.0489E+00
237.00E-009,0.0100E+00
238.00E-009,-0.0500E+00
239.00E-009,-0.0500E+00
240.00E-009,0.1276E+00
241.00E-009,0.1867E+00
242.00E-009,0.2438E+00
243.00E-009,0.2438E+00
244.00E-009,0.2438E+00
245.00E-009,0.3024E+00
246.00E-009,0.3024E+00
247.00E-009,0.1868E+00
248.00E-009,0.2468E+00
249.00E-009,0.2468E+00
250.00E-009,0.1262E+00
251.00E-009,0.1262E+00
252.00E-009,0.1262E+00
253.00E-009,0.1262E+00
254.00E-009,0.1262E+00
255.00E-009,0.1289E+00
256.00E-009,0.1289E+00
257.00E-009,0.2446E+00
258.00E-009,0.2446E+00
259.00E-009,0.1194E+00
260.00E-009,0.2400E+00
261.00E-009,0.1812E+00
262.00E-009,0.1812E+00
263.00E-009,0.1812E+00
264.00E-009,0.1221E+00
265.00E-009,0.1811E+00
266.00E-009,0.1811E+00
267.00E-009,0.1811E+00
268.00E-009,0.1811E+00
269.00E-009,0.2439E+00
270.00E-009,0.2439E+00
271.00E-009,0.3026E+00
272.00E-009,0.2397E+00
273.00E-009,0.2397E+00
274.00E-009,0.2988E+00
275.00E-009,0.1778E+00
276.00E-009,0.0532E+00
277.00E-009,0.0532E+00
278.00E-009,-0.1301E+00
279.00E-009,-0.0677E+00
280.00E-009,-0.0677E+00
281.00E-009,-0.1274E+00
282.00E-009,-0.0644E+00
283.00E-009,-0.0644E+00
284.00E-009,-0.0644E+00
285.00E-009,0.0566E+00
286.00E-009,0.1812E+00
287.00E-009,0.0587E+00
288.00E-009,0.2420E+00
289.00E-009,0.2420E+00
290.00E-009,0.1821E+00
291.00E-009,0.2418E+00
292.00E-009,0.2418E+00
293.00E-009,0.2418E+00
294.00E-009,0.2418E+00
295.00E-009,0.0608E+00
296.00E-009,0.0608E+00
297.00E-009,0.1833E+00
298.00E-009,0.1247E+00
299.00E-009,0.0635E+00
300.00E-009,0.1233E+00
301.00E-009,0.1233E+00
302.00E-009,0.1233E+00
303.00E-009,0.1233E+00
304.00E-009,0.1233E+00
305.00E-009,0.3043E+00
306.00E-009,0.2461E+00
307.00E-009,0.2461E+00
308.00E-009,0.2471E+00
309.00E-009,0.2473E+00
310.00E-009,0.2473E+00
311.00E-009,0.2473E+00
312.00E-009,0.1883E+00
313.00E-009,0.1883E+00
314.00E-009,0.1262E+00
315.00E-009,0.0682E+00
316.00E-009,0.1264E+00
317.00E-009,0.0671E+00
318.00E-009,0.1247E+00
319.00E-009,0.1857E+00
320.00E-009,0.1267E+00
321.00E-009,0.0673E+00
322.00E-009,0.0658E+00
323.00E-009,0.0040E+00
324.00E-009,0.0662E+00
325.00E-009,0.0634E+00
326.00E-009,-0.0585E+00
327.00E-009,-0.0570E+00
328.00E-009,-0.0570E+00
329.00E-009,-0.0570E+00
330.00E-009,0.0021E+00
331.00E-009,0.0614E+00
332.00E-009,0.0628E+00
333.00E-009,0.1246E+00
334.00E-009,0.0637E+00
335.00E-009,0.0054E+00
336.00E-009,0.0685E+00
337.00E-009,0.1263E+00
338.00E-009,0.1263E+00
339.00E-009,0.0044E+00
340.00E-009,0.0044E+00
341.00E-009,0.0044E+00
342.00E-009,0.0023E+00
343.00E-009,0.0023E+00
344.00E-009,0.0632E+00
345.00E-009,0.0027E+00
346.00E-009,0.0615E+00
347.00E-009,0.0615E+00
348.00E-009,0.0615E+00
349.00E-009,0.1834E+00
350.00E-009,0.1834E+00
351.00E-009,0.1214E+00
352.00E-009,0.1219E+00
353.00E-009,0.1219E+00
354.00E-009,0.1219E+00
355.00E-009,0.2436E+00
356.00E-009,0.2436E+00
357.00E-009,0.1851E+00
358.00E-009,0.1851E+00
359.00E-009,0.0640E+00
360.00E-009,0.0640E+00
361.00E-009,0.0634E+00
362.00E-009,0.1240E+00
363.00E-009,0.1240E+00
364.00E-009,0.0666E+00
365.00E-009,0.0674E+00
366.00E-009,0.0674E+00
367.00E-009,0.1258E+00
368.00E-009,0.0073E+00
369.00E-009,0.1284E+00
370.00E-009,0.1284E+00
371.00E-009,0.1295E+00
372.00E-009,0.1295E+00
373.00E-009,0.1295E+00
374.00E-009,0.1869E+00
375.00E-009,0.1849E+00
376.00E-009,0.1849E+00
377.00E-009,0.1234E+00
